x1,x2,r
55237,39288,6399
26541,14353,14162
54202,42552,38316
35475,32200,48400
24354,2852,786
44647,4010,34252
59701,56423,3122
38069,11775,43746
44180,28323,11916
55019,18719,11267
51639,59950,35277
30753,31338,55335
8636,37338,29365
17746,28970,55874
55513,12986,9420
51421,7069,7107
17150,32780,49679
18427,17045,49161
34030,29589,17246
9646,23208,24147
57046,20699,27428
42350,42882,55035
8313,9054,32931
39402,4784,45266
49311,49665,22629
32479,53017,12575
19448,52382,40679
49739,38664,33752
55603,21574,34773
53188,54077,45374
37558,11882,52615
40693,27978,28342
1948,12124,49189
8616,32845,37645
46817,37113,36555
55175,45028,3294
52327,12929,37038
44737,43110,34380
33358,39979,10901
13831,27875,46186
5935,863,12732
27731,29116,32317
15850,12222,56019
5633,25944,32914
52577,33696,57581
36728,48703,6905
23106,52363,40293
31763,44487,12580
3153,6917,12877
30981,51844,44270
28270,15382,16156
21698,19135,29186
34139,11451,784
54889,32630,16756
18050,48996,15547
16895,44173,43658
6564,36947,15632
55482,52171,1495
51169,48021,36722
19255,13613,25221
46440,34145,28153
44239,211,42470
40124,39375,6523
3292,21695,30484
47624,29615,6779
3159,50734,19346
5938,22512,51355
29328,24020,21613
22327,51220,33757
59444,41347,51308
45580,38474,11895
29709,40266,26093
23701,25716,40797
40959,22348,41557
11846,34268,43847
36438,33364,20754
4672,42332,56464
52456,24890,32602
15710,43,56135
56467,2157,22163
7575,42762,8189
21220,54105,15478
49429,50179,44459
39092,625,18676
17118,16929,18966
47873,54844,36635
59806,35084,32579
29652,46580,34182
49985,15781,23114
19427,18196,29587
13222,28208,16561
59959,49238,5984
8921,16636,27085
12327,19648,44884
2753,10250,54208
17397,46885,36331
52105,17369,33232
44217,20337,44303
16435,44307,44247
21919,23304,19558
14332,35694,46440
5351,32542,57197
15366,29770,50756
33211,40442,42872
9332,50408,15763
55671,26865,695
37351,26886,37280
26591,22165,14487
21716,80,58430
41480,40392,22314
1347,14531,36790
41011,12936,7245
33751,9415,46703
2565,46325,3638
59402,41849,1649
54440,3221,37642
37854,23550,32797
50637,24484,41073
45717,16989,53862
6744,34135,27027
32383,15940,36547
52699,13454,31555
56160,19055,2645
52028,8021,22847
501,47149,38943
53604,19579,48976
20405,957,26249
57224,15736,235
44746,42413,42754
42796,2405,4273
22573,50696,55377
24859,29212,11076
13020,10737,37854
14896,34686,26488
47905,44964,38041
36515,20259,35089
21157,29496,13762
39967,47395,45441
228,9176,19850
24106,1272,44244
5950,53543,23896
30916,9318,236
56120,4616,20241
57582,1215,19589
30252,44397,15936
47939,35519,36552
31125,56127,39280
28394,12156,58101
25259,25523,3892
34933,23081,37605
24555,30984,14461
49612,36073,11776
32184,10141,25156
12505,303,1985
48334,11153,5321
5772,51459,23707
22499,27179,42000
24715,19243,32087
36931,44273,12212
11380,3909,5414
10247,57303,55485
44233,41547,46780
4746,19811,48291
55373,3151,12804
1127,146,14264
23928,44450,37539
52072,43974,51539
23110,27344,57868
4186,15381,27431
31938,40087,51448
52967,4118,9399
25469,28527,16129
56665,8665,3994
55146,12650,59912
47728,29018,15352
15318,37,40411
52446,27682,54124
3079,52734,48085
39912,26198,20741
33570,56428,25560
50526,24205,38053
46095,48171,20916
14189,1954,47534
26359,39921,23811
52410,26877,11345
48389,14899,37528
25178,6166,13111
49734,1471,41851
28510,17391,8763
40850,23258,40124
39291,3280,52168
11566,53993,45748
27960,41338,20895
27334,7790,53200
1552,14361,35651
14700,1992,33993
54638,59554,53034
26316,44514,24306
43424,59645,34133
35562,58832,40097
45199,54197,2546
4653,43361,40827
25044,10930,50524
33670,48211,59187
29491,25610,29607
36852,22947,36384
12988,30301,59185
23819,57135,2064
27797,39711,8290
12122,28396,31979
21596,18944,51728
39484,52234,54389
3212,26366,23054
32004,22927,42443
9898,23475,28321
30231,33172,40229
54457,46350,47471
35115,47463,59225
58347,3188,40089
42894,2025,24526
31800,22095,2049
1199,49762,42957
25272,36499,28088
34074,29420,19241
25195,32493,39076
19816,36274,4162
5799,44246,16069
1619,18039,16239
24797,50435,5938
45114,32878,31555
10750,36055,46881
25617,21900,35715
15283,13330,7061
28143,29068,28206
36374,1027,47705
55634,27641,36527
17555,15108,15841
21751,47904,4308
5267,41035,30860
28443,9649,22685
10702,14449,42561
26979,21335,9447
38178,25967,17164
26520,13080,26468
3646,40902,11976
46703,38619,4162
49733,54975,45838
56738,23056,25078
1979,53928,12775
50890,40926,13412
27766,42140,51490
28556,9895,48752
12475,45866,23859
12214,56051,21099
22499,6208,44785
57465,58585,37442
50458,6388,48173
53798,16889,39606
3932,59579,57913
10328,38687,10911
20460,58610,111
10844,2854,38429
59835,34627,21092
42067,4459,19754
9566,2,42066
37780,39087,44392
59008,34985,7597
47737,11937,41070
57365,20609,28833
26529,49735,2305
8763,49850,27602
8049,30200,46159
56824,41133,11393
8208,46179,41411
6573,45501,34186
46503,22786,33513
53419,8748,23393
31220,29800,34931
1393,59317,41965
49169,42297,59670
21240,56699,865
3268,19790,51818
36662,45264,30507
5451,49822,56168
11721,41109,41538
5473,36438,2304
21385,45766,28141
4939,8319,31287
31786,16436,45208
21565,56467,52393
51588,48777,3038
33249,12662,29137
10115,43770,3454
23240,35607,53137
23930,22291,58564
1842,17937,40987
43634,38140,28793
53858,38837,23017
21529,17758,41817
712,17394,26797
47689,22465,25605
49163,25590,4499
8903,21105,49757
29229,53742,17563
8636,59838,45768
34053,59977,59365
33528,55790,24033
31002,11013,18843
56646,23921,33015
30608,37717,36029
25535,20890,31951
25930,30672,32244
27430,539,44018
29105,47802,15019
37168,55940,49560
20713,55163,41145
22082,47184,24258
59989,6582,31281
8718,58838,16236
11019,43514,56632
29948,16996,40097
32785,28876,16780
30856,51353,34661
17503,37697,9434
19578,31412,27412
50380,25158,34201
256,18971,4937
36870,6709,48395
58207,38226,55520
51550,50089,22191
7072,10502,47992
13697,12105,24001
33211,14386,39407
43256,14520,10507
28898,39762,20130
27094,48544,36070
53453,22312,27634
56683,45074,5782
18075,12739,30166
21102,42900,45515
7407,33884,52171
20022,51266,32118
30168,59502,28435
5151,30624,49287
11840,46418,45389
43887,29992,44447
56425,53836,17096
6236,33062,53895
8491,47323,26838
17953,11348,45078
11572,3085,38525
35196,39339,46321
28387,39396,15427
6384,59054,58740
22422,397,5247
47667,25081,25733
55140,54738,5731
14904,7098,11258
13311,7447,38801
33333,19149,39504
4668,23612,9590
13383,24130,20533
3418,12738,11380
54797,29296,50376
38086,1163,36213
15507,1700,19603
36486,34067,40618
37532,52540,50698
8186,42605,2658
52229,14651,41242
12642,10371,53666
30050,28757,12672
32052,27261,15936
37822,12818,2748
57699,49787,27399
33198,19340,2401
10371,36856,16435
55303,17061,11235
10715,55349,32862
26573,49216,34712
15949,56792,26762
20999,7531,57124
19779,47061,2402
4950,55482,13132
17336,1234,52880
34263,59676,29574
34064,19002,18840
16675,38393,2750
54906,36979,39745
15570,1216,41984
30688,5109,10557
35998,23810,50036
8122,35180,21165
48164,20688,18661
951,57800,38382
52216,4252,2877
33115,46346,54722
24430,8560,56309
54936,5445,52596
46938,42489,6479
25911,43753,23124
53881,39095,30472
45683,15223,14447
49802,17497,8578
46215,34852,38312
22618,21177,34847
38092,41287,44446
48638,18201,35161
54769,15044,40398
25723,33484,50272
46576,44258,51359
22318,7369,35333
10827,7558,20231
43295,57515,18598
16872,35766,32000
19668,3390,51120
15541,16225,35833
52752,22738,42424
39219,8772,34629
11643,58145,31767
33271,48791,450
9178,12397,41203
12805,26067,39007
24985,10945,37710
16762,12797,49874
33547,43529,3133
17073,59843,47690
7938,36860,19562
34187,30727,55339
27894,27036,20689
26377,3113,3377
21905,50840,24987
59275,2243,33484
9855,10911,10646
37220,512,57812
40226,51743,18158
35601,18963,52439
32383,15699,51262
9500,56299,13541
56166,51822,28370
1539,11296,57592
4055,3631,31865
59165,24728,43128
41534,7635,199
32029,13194,19224
54324,48409,33184
33289,27234,43622
26045,48162,41606
9863,8075,17587
20983,28348,33215
27672,25332,43132
16277,15272,24636
35365,30148,18379
8285,7666,59373
12692,15090,52997
5391,22411,34744
38780,18685,26525
58475,47218,17890
25694,59764,15449
53694,20505,33924
26299,43173,12899
16565,29496,32138
27459,28630,59253
31817,19641,37924
14190,56049,58027
58563,24206,35233
24435,49474,36923
12433,9125,32719
31848,46504,4485
48518,52925,40411
16311,59505,52736
42671,59651,1666
40936,54495,7650
23305,37945,30860
16971,26390,49884
49660,34219,6742
22072,48078,32672
16110,25743,27640
19132,51500,54177
15696,22126,17192
53182,34456,53770
17730,16490,38659
40113,10785,3430
45685,47870,25293
53798,26830,58340
24508,6761,39322
2142,52234,38355
18882,50514,42847
32154,23758,31632
15242,28751,25959
24250,7070,5125
12971,28197,57705
19251,26758,17728
54162,6089,389
3605,56313,47955
59966,26025,10544
3746,24224,33523
5402,29184,5676
46016,41238,30377
15715,16109,20576
11677,34318,42307
56179,36607,26963
31697,35844,24604
59954,20355,35184
12557,26493,253
46501,43244,55997
49101,20240,23873
37975,54116,56575
37503,16660,31925
41718,40093,5
41693,42357,28330
35010,36276,39282
18133,11118,27923
57118,20898,15830
35789,31086,27329
26766,29197,37622
6667,13350,36031
13044,42325,14341
35888,27847,26073
2707,56022,47757
38626,11137,27327
26040,1875,42875
14296,22100,30599
24401,22831,41944
47451,57679,206
25932,56635,26071
45478,8315,36603
725,15757,4660
50790,16403,49632
28903,8162,12376
52388,17039,51604
36239,21251,19191
3151,27960,5824
39765,32976,48433
738,40084,25398
15398,43617,59065
36728,26399,50586
24871,32422,26039
3081,7075,38873
41853,625,35034
28862,284,48057
34849,49714,13586
734,17746,10006
11959,5482,48276
58929,19492,18016
7344,13508,45315
3651,23079,46677
27142,20383,4954
29378,8184,22542
772,14772,46472
47850,10073,29403
33771,26693,22909
15211,35718,24072
38503,3571,19767
51126,55142,39129
28928,31502,32707
40020,41046,35906
5723,33481,38664
39091,46546,14378
4317,58359,47568
2113,27107,28742
21225,46923,13891
49350,45159,12045
1136,57547,47027
19379,16877,35286
52934,59350,3294
2113,48575,663
15018,40425,4428
6125,35443,36602
46946,16592,40676
29206,13800,54867
17733,35504,50559
18132,55615,24123
25867,14912,44886
39732,49213,36669
25598,1454,43874
5400,50697,3943
1002,53577,49927
28380,39284,7883
58837,29550,1665
23408,35235,35316
31809,34313,19067
14837,48769,15506
10314,35650,33469
4963,42953,57840
39257,48093,3796
45389,14672,40562
55136,23292,12460
1928,2429,15698
19152,11099,19070
44585,31143,53280
40960,18635,53962
14684,21136,31779
35802,12767,6023
28509,56326,11921
35077,47872,54209
18084,47181,19098
30281,45944,14228
53060,33523,12140
15047,8903,14324
16704,5195,4562
17450,12087,40271
9020,23360,7338
59529,1930,47845
38912,46099,4441
14886,38067,49054
27505,14816,19803
11007,41747,23809
1850,26859,51759
33523,11719,57399
31627,9169,25083
4348,36894,7924
28132,59474,17694
24730,33422,22987
23621,39934,11758
40831,33894,39429
16980,13382,30141
30195,6852,9110
44135,5174,45134
9421,49650,25337
24322,50352,27352
46655,35129,1701
9194,9738,1096
53109,46847,59195
57937,9041,29500
17993,11840,21221
38125,21265,55784
29360,15246,4880
31961,31837,46976
35280,10751,21804
10837,43511,4042
33803,51976,896
26141,45648,8083
55533,19120,43040
59954,21790,56552
13109,27657,31896
27490,55683,12717
18578,49212,21136
49944,9018,26745
44115,12397,35368
19563,431,26340
28333,17438,37289
20983,52540,40420
19399,43526,2431
17580,58172,1940
44996,59857,11336
19571,6481,51709
34347,27526,35507
38096,26599,59566
10207,44149,20492
30358,6776,3905
44455,26601,4873
16030,55343,18036
36115,1384,20747
44627,28369,43904
50505,37420,49213
49653,13486,20239
40308,42565,18445
48692,32312,27909
36320,35593,7899
53742,34815,10628
28522,45132,18099
30479,8679,8339
55313,1376,23138
5541,6188,40789
33859,58081,15706
58596,58632,26171
15325,1028,38232
34101,19531,36964
52943,32851,8236
1150,13824,31502
50223,51919,38980
27197,1104,23933
17091,32524,56840
38938,11180,14872
27611,46903,38167
24441,32884,59877
54638,21219,41425
51396,41410,36883
22598,5793,31773
9798,52936,59265
2549,27131,52450
51292,58452,48021
25184,41249,23762
25790,58663,31405
34490,39256,54572
38322,34457,48585
2324,9437,32081
43943,48215,6559
53522,7281,46402
55195,1877,14296
33643,48696,36084
32678,8495,14223
44334,22152,11606
44143,21514,45896
35639,28263,47155
4337,49172,7571
15363,1883,4978
41260,50895,11113
44667,7709,29616
57612,5144,49269
16881,47301,53597
322,50700,19548
44535,21209,26539
51601,25974,54736
59571,49141,12165
17448,22641,7409
37107,35692,6301
35322,44452,56431
5112,40832,30063
35970,40448,54776
57067,53803,56009
24974,7346,8009
2109,17666,35753
22518,1947,4871
52611,40618,7737
48985,54608,35900
1821,45855,13662
35302,4584,58972
53877,22522,33833
24967,371,29070
22949,44460,45419
30498,57122,15729
51409,16490,8708
27144,13609,51446
28808,29906,35659
57687,57359,48138
36641,31842,22471
48572,48882,14212
24169,53513,25731
35477,23578,36693
47707,51294,47841
12844,20027,14520
25241,11691,38891
45702,46948,31233
17693,32189,21249
27241,20033,11712
52115,14658,45349
45706,28861,56360
59448,23719,3669
47648,112,26745
10974,32430,47268
38175,44063,56763
12987,52034,37822
2442,1673,26380
30953,3910,20660
18892,28174,8711
6678,17283,13823
23471,50401,52747
34402,16624,58557
14035,15014,42994
5945,50006,41158
47319,10583,13145
34928,38477,45357
35586,290,17338
5389,35924,9407
50310,33719,49270
57840,42210,43170
19400,27565,19869
5697,48090,10453
3050,7965,8146
26082,14224,4359
35344,33021,38814
11788,54553,15712
33969,5088,21269
12011,42069,26619
24528,58067,38067
40809,48726,6480
18743,7776,40100
10728,42904,26175
15560,36239,16776
5149,58784,25226
5561,12532,27803
58548,44632,12020
42252,54483,25738
41436,44302,22132
7229,34598,23739
11800,20746,26841
54105,50285,53475
33262,13549,27706
35393,31316,24082
20627,36175,49963
54032,9104,52994
3523,25074,25472
37164,34204,44556
14486,10632,46585
39213,4818,17206
23610,16767,5678
1589,57723,3547
1296,19525,50674
3908,8834,52187
23751,8830,25538
34805,59732,24648
44136,36415,20670
33337,41669,11512
20523,26632,51734
42082,7409,57387
40305,36271,59446
57863,35640,20172
15631,3666,17585
42868,41700,51084
9908,3194,37989
46361,8845,16742
17742,26589,30739
10906,51272,42973
17845,16812,6261
34838,12616,43536
57655,38911,4277
15092,11667,10964
2899,33338,58721
33998,35144,2334
56225,14349,35871
378,28237,58549
33457,9323,54325
50627,46589,13574
15531,3859,16328
1342,48362,4038
27371,8498,2428
10410,40712,25412
2886,37511,52855
53180,18767,32843
16176,55005,24730
26632,51394,48863
231,16630,50447
36630,18746,16948
14603,21651,59406
46092,30200,52907
54285,51841,30598
57287,28091,2794
4123,5698,41138
30092,46496,43939
19434,50746,2039
8434,44368,20182
47375,5423,50236
43120,52603,3289
39553,25562,28985
28707,45431,57202
52409,1967,44786
22483,39536,27508
19627,46462,15993
17974,45920,33524
26037,7758,36615
17044,21478,25600
12585,47361,28694
4009,11493,22769
44561,31493,39129
45626,23344,23449
51349,9010,34170
32172,57301,45567
6777,17856,11266
50283,56904,18510
35687,46174,8645
53379,53866,11577
604,20172,39282
7789,46362,53811
23387,59457,54573
55361,33639,7489
21549,26529,41554
43947,54710,47776
20669,43650,28051
56863,20970,40712
25632,34209,44809
13835,46071,54872
9605,34635,21587
13116,29167,23445
22718,37975,24984
4702,13329,57288
21232,23649,45553
53489,21807,46854
53399,10726,50599
3585,17146,53557
29653,51600,53319
36418,42086,11727
5186,32555,55489
17853,45860,1915
12224,53938,26082
43841,40600,57751
30512,45794,54066
14481,42811,56988
27063,275,54714
19029,57341,4023
2060,27694,16026
2189,47131,29016
48243,12659,16291
50803,13564,32977
49609,28269,15333
54850,18152,38910
22423,32242,37892
3398,35098,10116
29632,818,4046
46768,12587,56324
33932,41711,3710
33352,31432,28776
48644,52248,37541
24806,15447,44353
59573,38980,45047
21317,45837,6928
32466,59080,29914
8536,19587,30376
28526,14434,29063
2913,49662,11933
54773,47003,28822
19405,25018,46812
14574,41180,17071
39704,25066,10083
33415,10675,12298
13787,48717,2682
25365,41921,46110
35280,26694,36074
18105,20890,6761
35750,22245,27261
28404,31961,10845
53033,35819,17412
50393,18414,54172
106,39245,17567
33585,53424,44410
59983,9689,26464
10969,43133,8509
36850,38174,12217
37445,32730,17443
26530,58367,19603
145,25128,927
59575,44320,32413
11649,53711,20573
12641,9318,7775
7932,35424,45704
42809,10043,24075
650,26255,27983
15076,42536,55315
35352,36867,48629
30146,44856,42927
27964,14455,37034
15092,13026,48846
21656,5004,29772
25078,14186,55961
5059,47659,43868
29959,44743,8643
42600,41567,29223
29248,12972,25415
16865,41300,8452
48943,21936,36390
48219,51879,57252
7036,38304,44119
29050,11808,37229
23875,55642,31540
38445,8323,25476
23497,9845,33892
10918,4398,42
30229,15575,32610
56118,2080,39423
5238,2900,14998
57613,892,24012
39102,46775,26942
44158,25537,694
2859,37254,23011
23142,23780,52957
35086,52300,41550
20114,36423,59168
56713,43054,37310
18883,10961,57890
26567,47720,29438
8299,48847,42429
13624,17531,6571
20935,40100,55214
48385,51785,45437
59261,27051,10499
2685,45923,44088
44319,12244,37447
14158,20844,20108
10811,4220,55815
1997,598,57231
25099,18318,19191
34994,21248,41669
10604,2026,47770
46206,38381,49178
5527,12688,45326
49207,31274,38050
14295,29191,40954
54480,59550,38453
7696,19769,932
58246,21933,2310
2876,50263,47193
2225,21103,49167
52962,24622,42585
28244,34831,22352
59695,12149,43417
26060,41620,57542
3352,25326,26916
51022,16225,46991
24565,55383,36208
34936,40026,51246
59111,4011,47465
3483,47101,47229
3114,52406,3131
74,33373,18255
36619,39435,24472
43306,6163,25716
51508,9562,36841
39104,42045,26224
48319,15717,49784
5580,38524,25327
13173,57847,52937
16734,31679,58537
46516,55138,2976
35087,50010,22871
33227,21196,26931
12767,22535,2835
22633,7087,21812
53220,10524,49581
50758,41892,19199
42634,44854,16655
29599,13868,28599
12485,17094,48480
34871,11377,38820
25095,17375,51250
42874,30751,21983
54209,25646,28687
12321,6100,4007
27724,41052,37314
28776,50323,49610
31559,42809,25507
49410,9575,696
37392,26667,56726
46747,43549,41770
18265,56977,54739
48038,7976,42012
35490,17331,58430
29188,24236,59606
28718,19055,21178
218,20772,4378
111,4780,59489
55586,34521,19373
39912,57699,57671
43914,10518,13999
12940,50732,27126
52339,1470,12159
21393,23784,1866
20267,14139,880
17840,11009,56113
14174,20781,57499
42687,23379,43985
28505,17619,12626
59781,50190,4638
2608,47182,39683
14261,55521,59657
9731,54220,30110
34225,11496,14175
3498,7552,10376
38865,38662,35500
27115,29941,13231
32882,56822,8192
57365,45437,53079
24061,46355,22619
18621,50096,18143
27340,27199,54134
38193,46937,4321
80,52736,51691
14590,55658,49781
37371,21144,16654
58523,53089,56771
32289,35953,45286
25204,40440,43334
25449,42502,48533
56890,49805,21697
48775,5127,25812
2212,29166,6351
35088,25710,51134
16566,36530,16557
28992,54849,12271
7813,16713,17771
56276,17724,52363
17593,55871,57001
56657,47768,33111
59093,13455,6114
30710,51595,99
57142,35802,4897
17622,1823,15251
36178,38427,11952
22302,17827,46235
44618,43006,59246
9517,22864,20431
5707,21267,56432
16426,12049,45459
41212,4180,13350
58584,46785,45976
19445,17674,421
22126,1630,22943
45778,44762,19903
4664,39611,47706
17872,35834,38542
31947,12263,44800
40226,25713,23496
8789,25714,50661
35907,59640,49785
35343,27547,21613
36725,34511,54855
15042,24043,30893
9804,51166,58678
4629,57222,33250
30675,42113,57625
30949,25214,37243
19621,14791,26629
20381,33553,13692
2448,23369,4015
9924,22713,8886
11343,37550,50823
27636,53259,48607
11474,13829,40561
42219,26759,53355
10900,18198,47498
25401,6909,56274
55902,16081,19922
8622,5964,58773
8279,7059,55455
18629,52616,9442
1001,19180,7265
58417,25597,57634
203,56880,50228
10556,12406,53945
49117,30163,23241
56076,28165,44940
53842,12655,27856
53664,42597,18064
34727,18039,57339
26332,30100,44297
32033,35902,18750
54588,28665,50642
29455,25253,17127
28784,27214,33723
2033,15641,14120
45775,2240,38905
22612,28450,20451
10566,11784,7612
14341,17245,34393
9510,51239,29970
31914,20957,4390
56633,2932,48961
36722,45979,12158
59747,14011,18440
55524,59857,40185
26933,49180,16968
54695,43043,10649
5547,17057,6901
56567,58337,37571
32065,21492,19732
4134,38771,49859
1250,49720,3261
33152,58012,36572
44724,25287,45149
41684,7706,1976
15286,2077,40575
32842,34489,26899
56511,26156,1298
49943,27188,49186
16487,30419,56587
26406,52654,30765
35242,29816,20427
4749,27452,9817
5513,57425,38903
42624,18221,24605
43699,52478,33331
2760,26988,14232
5770,30969,1580
58793,6113,45904
15274,20823,17553
37234,49941,58314
14186,11659,20672
48535,46208,27226
50057,56929,9990
44629,18340,7692
54679,3192,16794
46810,17478,13831
33808,34853,52109
20252,16570,54804
11539,40777,17865
30623,16060,27033
3054,5919,2579
59835,41428,551
18227,22365,45022
27152,26053,48518
28048,23485,56361
45534,3544,57576
41031,50552,15460
58205,42701,2822
53124,31878,4093
16633,2522,24457
55923,44755,54515
47940,38048,46332
14526,48522,21865
16683,57436,47356
47248,45340,18277
18691,33673,3546
17400,10406,8406
18794,48682,35952
54326,47759,23208
25728,24971,39852
50862,56639,17428
16941,39184,31408
22481,9217,6514
33225,34142,26784
36022,17627,39435
7697,13290,58994
24163,56019,21117
48041,7416,57247
57777,50553,4508
24933,57668,52987
16588,17677,57287
26267,53595,53181
15468,41373,33383
41501,9792,28800
19783,16704,9988
20624,10096,42200
561,8918,49455
49859,32285,41384
8599,33671,7775
43900,14493,35472
24927,1794,28976
55158,54599,44420
28339,44241,44123
43967,58365,42260
12259,12269,57171
49107,26799,38836
49321,41582,161
10384,5150,45785
59086,15353,40710
2716,40301,14303
40586,6645,32130
14501,48812,26197
25581,17833,10250
40646,10114,41535
2956,14408,16339
16768,32629,6668
29698,58258,31859
40243,19979,47720
23582,38565,29134
27455,55691,42607
56000,20627,57867
11128,6355,571
7276,11642,16496
9272,29190,9157
36624,30424,50837
33922,21064,1757
17758,40603,39569
6457,49438,421
21534,56282,29261
16845,54938,27778
4972,13170,49498
28467,21170,31810
27361,41180,46498
38325,39725,31019
56683,49882,1682
18106,9424,52838
25546,17006,819
43062,9030,37799
22135,20339,25154
58572,39850,29803
51299,1346,22885
14501,49498,18077
19984,16042,26054
57895,17839,24454
8400,45618,36556
33196,32912,9491
36276,58708,3494
9338,33165,30214
12266,18664,38983
36787,39834,43339
35649,38776,35513
57431,11095,58375
8447,22561,6631
40020,23488,22178
54309,41356,39299
23827,56349,23978
23077,53924,50736
17578,48215,40616
20577,54619,30630
55993,21361,26463
2305,35453,59426
19118,56669,29907
5993,43163,35223
38668,59442,36186
57908,17435,57184
31166,3945,33880
9925,48285,48348
36693,1775,44727
54043,45442,28402
10423,27780,24208
43625,5739,41522
14838,26339,11977
27420,15631,34990
33903,56181,32911
7398,4481,18569
11345,30594,57246
24172,889,55524
40222,52569,55550
58232,55125,586
16075,15802,56607
47506,30198,43993
5064,6578,27626
5277,32193,49282
21654,47676,38282
56059,27100,48291
57587,24575,53092
44289,28693,19423
53921,51606,51538
33510,42954,10106
27278,8964,33921
16256,7683,42600
39957,25419,22866
56505,52955,24823
10815,42456,10154
58901,5769,42132
41161,40584,9439
7508,49382,52756
33254,41082,59316
58352,42213,18050
10335,37827,17764
18488,9469,13861
51791,6154,45708
16216,30812,10327
53619,54758,24466
50924,37253,43253
32691,252,52957
15024,25152,26033
38417,5093,24410
36846,28054,56459
26755,53842,43931
39962,53156,32833
24389,7022,59664
27352,9403,37446
28675,25622,58620
11914,14923,34462
31082,24148,47168
1803,3518,48859
56715,37759,59124
26996,40392,22050
24405,41815,34466
16783,30365,30112
36960,52758,53527
49003,36689,46636
7973,43610,37179
46585,17787,52073
14984,41601,51819
1085,17909,51897
33111,39148,11145
45865,6610,46613
56683,37083,35511
42535,32061,53140
56503,19926,58297
8589,17510,36504
51830,32298,32370
14268,30533,41740
34389,29411,36338
8720,56935,27434
50299,57231,56039
39071,25988,57726
10887,12653,24680
29432,41120,19574
7123,36803,1320
57840,18627,21778
20236,29414,2074
58052,14796,11868
32905,31901,13825
58140,19947,54198
45645,12507,43377
3592,44314,45117
19574,43560,494
24067,1649,27068
4141,808,24807
29370,25414,46933
54828,10732,37573
6153,56026,6632
32860,37194,46209
11767,26839,28297
27219,56871,17805
53293,12155,51354
1740,46978,32846
29464,5504,12296
1416,7669,37631
2351,52923,35648
47712,25139,18979
5353,3229,53088
13348,32974,8556
39377,56437,43443
13049,33663,21464
50249,26243,4135
13256,39298,32061
33805,59367,39360
37559,54434,14170
53813,4147,52170
13083,17894,944
9955,45047,47490
55514,31562,20738
48820,19407,6818
34436,43789,19524
50721,47052,23106
47939,54014,34044
55696,58201,53815
53581,9224,30395
27184,54864,18077
52773,9824,46456
16638,10358,7163
11526,6028,45842
58051,49094,41023
21386,14916,14770
41348,10630,24682
32515,51569,27392
46653,58235,31782
55134,34961,43710
27207,38160,37344
45866,1383,5628
3777,34915,15167
12294,13039,26670
26141,34022,33119
42239,51674,26124
40316,7710,15967
56263,1795,33981
7375,30998,35274
11908,48432,49229
43851,45233,51868
41739,35193,58515
38507,57984,26071
12788,40624,13982
49901,35732,18817
55845,32286,19377
37178,38849,58569
42008,10649,1248
17885,46336,24511
17423,10630,5811
20880,52497,2519
27126,644,9671
37308,5780,49392
47373,13577,32957
10246,45483,41223
15382,28405,11512
57814,12480,11531
54732,47531,43817
19552,29957,48481
56876,17125,42584
5226,44202,22701
39985,30456,56967
40746,40899,10438
48479,13798,5986
24431,57767,1944
44336,53148,40460
18970,379,26045
29986,41857,31495
32623,7931,47005
30825,16667,412
22651,17326,7144
43651,5707,51001
2067,52996,26141
55538,26776,5496
31841,55540,28194
15449,29373,25907
9424,41218,325
14349,28022,59845
46110,23274,25647
44258,23933,40827
32503,58005,22986
42131,11416,45315
2927,16118,59481
42811,54567,33653
4676,49275,732
31143,2327,20489
54227,39989,41525
46823,57380,45708
38149,21299,52107
26331,34283,47991
57030,21814,38725
40556,19992,39351
13767,55728,5754
20436,19633,56643
5818,36364,58360
32519,17892,55471
17537,33221,44331
29103,34231,216
26621,21130,43253
21329,25852,5642
518,49222,59828
47663,30328,31329
55505,16330,30591
30316,35143,41073
14656,30884,41332
49744,24676,2664
50804,26049,35634
55964,948,2654
27902,15193,46805
7189,40002,43723
24865,58176,8168
44726,46780,42521
12027,10960,6744
23469,14137,11489
40483,22780,58154
5367,56129,22833
9009,3839,5823
18003,36207,40422
29572,38070,22995
5534,25450,58156
24912,13131,42710
20789,41682,6080
33113,46754,7624
27289,47433,1806
23144,30881,25882
42489,54919,53818
2808,8435,1347
34567,56205,17051
1253,20589,15871
14092,1636,46934
39229,6328,52561
24785,12507,17844
40275,1412,42197
42984,21096,2482
27625,20092,47364
57732,24311,52259
43555,931,52126
3471,36087,24113
58050,28395,32467
8803,8877,23248
3693,25496,6620
3535,55640,27873
49441,13588,18679
54075,55918,15061
11100,9666,37504
24433,30918,5022
36278,58753,27363
56944,46568,24759
40944,51983,12951
57331,42362,28856
17844,16868,14411
40102,187,42207
17049,32792,59336
41464,47526,12037
17799,16542,20794
8287,34739,13669
15568,13875,41350
24814,44136,214
3892,20223,37954
9096,59368,37199
931,25264,48143
34951,53692,54387
6567,22627,54684
19113,36135,27808
42411,47794,42670
21159,43108,50403
28031,29373,22535
58372,39418,7101
11088,7450,5403
30038,49906,7869
19234,58575,15319
32568,15515,25344
45671,23008,20006
13632,7005,56825
5780,11012,48917
27568,53639,14740
59471,2735,22207
28895,16252,18152
45422,18875,43963
33577,58632,5616
9545,34786,45770
47234,10838,2160
48627,43780,21390
52284,8691,58571
30208,53864,10201
16556,7317,39256
